id,contract_id,committee_number,committee_act_info,invoice_date,requesting_officer
fd47830d-f21d-4a75-b6df-cdbec159500e,651eb248-30f4-4914-a7f1-d587ac3de45d,,,2024-01-24,
8b6c9c02-4b82-4c8e-a87f-93791623ec3f,19cb2acb-d94b-48ff-a51c-eb189981c376,,,2024-04-29,
f490fe31-292c-4f38-9708-21d58da19b91,ba137795-882e-4c7b-8327-dc1f8877a15c,,,2024-05-28,
ca545ddd-41ce-4721-a172-ee7bc747945e,626f8951-176c-4849-96a6-a7ac55cd98c7,,,2024-05-10,
ab821e4e-cea7-4ee7-ab04-3c295cc09e1e,0fad61d1-c278-45fe-9f6e-40236f0538d4,,,2024-05-17,
9d94db77-ca94-4e80-b302-325488383363,680cb477-5f75-4702-9a1a-2fbdda72b36f,,,2024-05-28,
ebcc7dfa-0d68-4d18-8266-fcadeac3b5d4,d5ab438c-0302-413c-8f88-9ef8640e343c,,,2024-05-29,
0bc77c35-fcc6-48f5-a5d9-23df700dd61f,2431ab36-7848-4139-8253-40ce10698fd2,,,2024-07-12,
0112dfbe-4c5f-4eaa-918e-62fe969c788e,b7f9bdf8-a7da-4cac-a088-124672781fef,,,2024-07-12,
97ffc34e-0664-495d-89c9-3399f61d1998,7ca4e3d9-087a-4b34-9106-1d6bf6c822eb,,,2024-12-31,
2f19e4dd-c072-49f6-9ca5-a0ec02667250,96d9c10f-c4c2-463f-a063-5201fce552a3,,,2024-08-08,
f0d73b6f-84d6-4f9c-a9d8-dd248af77422,39c66451-532f-4f8c-be5a-a1e7d693cab1,,,2024-12-31,
a8b322c5-c5c0-4e22-b4e6-b4e7719fdd78,8fcffd94-bff7-435c-a41d-c2568857e573,,,2024-10-07,
673b40ea-aff1-410e-b198-f573c5781892,9f0423c4-71c1-47bf-8d2f-2b34d0084d47,,,2024-10-07,
2928feaa-f439-478a-b9c1-76f786440cee,5ded754c-ebca-4e08-a631-147d09a9a718,,,2024-10-01,
f27764a3-94ca-4bec-b81e-8181a84935f5,cbc5b186-13d7-4000-9453-813e30c9d37a,,,2024-09-29,
5687033b-992f-4724-9f3f-df6f5cea6a94,ebacb20b-bc08-4f98-af24-16fb5c490de1,,,2024-09-29,
f7b23b08-7561-47ab-bcc5-239108d97ceb,8107ad5f-5063-44fe-89ad-47da8a7d9444,,,2024-12-31,
3283384b-5980-467e-afb6-197be35f2c75,405c61ee-cfb2-486f-8cc9-b4a2e3a1d8a2,,,2024-12-31,
3b62b862-645a-46d4-8e1c-ab0a07dba87b,80561bc9-bac1-4686-8c59-907edfae199c,,,2024-12-31,
36122687-5b02-4409-b1ad-c70b2b838373,398949c1-9862-4c72-b816-318925a7ede5,,,2024-12-30,
799dd3b4-d08f-48a1-bd10-d48b96ba8481,d2ba89e8-a168-4fae-9a52-f2f44e24cee6,,,2024-12-31,
12e433de-9002-47e1-9bee-bf6f3fc8aadb,dc5481a9-2310-4a83-bcc1-d2d210c6b8d3,,,,
6e020886-09f0-4590-b56e-17d26371077e,4ef72b05-5d3d-443b-9b13-71725c932464,,,2024-10-18,
329aa85e-e867-441a-ae41-c80120a30601,0b2ef628-7771-4f1f-b5cb-f8ffb5729eb9,,,2024-12-31,
8079540f-5aeb-4fe1-bf1a-42d27e130969,dc367008-27a7-442b-9596-1bb2892ac454,,,2024-12-05,
799c9a72-6df7-4e43-be20-9539abe182a4,dcfd9b92-43ee-4c46-9bae-a7c538af3085,,,2024-12-31,
2a53d65b-fcd2-46b1-8450-d3fdec0e65f2,90bbfb61-6def-459e-b583-45ba1ea9b094,,,2024-12-24,
5dd3eebc-be7a-4d62-ab2b-8eb6cba5d58a,03c70df7-76c2-4129-8c85-a24581113af6,,,2024-12-31,
2ae19267-6aa7-4674-9089-5b971e2ec85f,36b4fbaf-efac-4d47-a158-679452ef4149,,,2024-12-26,
75561ab2-bee1-4337-9d3f-841ebb472419,38319cbc-1004-44c5-b865-4c2c16811c90,,,,
2a7c7707-e4db-4038-99c7-5b082d00c219,38bb89c8-5c25-4c49-b2cf-dab2da1793a4,,,,
0768ace5-f758-4706-aa61-484dcce6c216,d4ddf91b-e6f4-430f-bd4e-2df9750425f5,95.0,,2025-02-28,
