id,contract_id,secretaria,admin_fee_initial,admin_fee_additions,mandate_pool_initial,mandate_pool_additions,pending_collection
ed2415eb-e7e8-4511-a8c6-e9dfcb4f7ff3,0cec3390-ed1f-43d3-970c-81eee01e0d46,Secretaria de Educación,315250625.59,60912969.73,3784521316.0,731248136.0,0.0
6cc7457a-4da8-471f-bed0-d243e871bf4d,a7ef0a53-5c3f-4ff3-830c-e5b11fa65a05,Secretaria de Infraestructura,26771546.0,6256829.37,321387109.0,75111997.35,0.0
b48354a6-1615-499f-8853-a5f2a3de1723,00cc3433-c762-48bc-8837-e4ca5aa793a9,Secretaria de Infraestructura,49271286.0,5442822.0,591492030.0,65340000.0,0.0
dde8366b-6ff2-430d-ad65-0c8ddcfee54c,4e508581-1ac0-45fc-ae11-69241598c673,Secretaria de Infraestructura,673132645.73,233180860.4,8080824078.0,2813013257.0,0.0
9df754fc-556f-41de-888d-8bdd783fac0a,022f94b3-e038-4b3a-b02f-9b6565e4be6a,Secretaria General,0.0,0.0,0.0,0.0,0.0
ca42bf81-2c97-4953-9483-1eb9c2ff4845,c4178aa6-b46b-412c-9186-c6d5b3f8ff86,Secretaria General,0.0,0.0,0.0,0.0,0.0
87c72da5-6511-4b4e-bca7-f7d78f14c5ae,224f61bd-b0bc-49cc-ac02-5e4966800ddb,Secretaria General,0.0,0.0,0.0,0.0,0.0
deaa72cd-abae-449a-b5f9-e745e3ade3e7,905de2a8-8688-484e-b46f-5921622f2fd4,Secretaria de Gobierno,1542695067.57,778328381.31,22038500965.0,10792700883.0,0.0
ca617698-e61a-46cd-a4b9-b8989bcd3064,434c3565-978e-42d5-941b-28be6858cbab,Secretaria General,0.0,0.0,1000000000.0,0.0,0.0
fe045c0e-a0e7-4bf1-a7ed-bc485fd9797f,c518ff34-b480-4871-b831-90547ec53b22,Secretaria de Infraestructura,375397105.96,187642787.0,4731896294.0,2365245219.0,0.0
2fe2bccc-6de7-4154-86f6-e85657cdb564,92d0050c-45cd-484b-ae47-b2692a7bcfbe,Secretaria general,554911685.2,0.0,6661604865.0,0.0,0.0
800915c6-d4b0-4647-bd81-fb0007410fdc,41e17724-69e0-4d94-85c8-4c77ceea4c82,Secretaria general,0.0,0.0,0.0,0.0,0.0
22adf2e3-07c8-4416-a9c3-e313947dcfe0,9c8efb2f-276a-4a19-888f-5ec5ae05b9a5,Secretaria de Cultura y turismo,0.0,0.0,0.0,0.0,0.0
683af867-4752-4570-be9c-ebc8e286e0b2,18d4ba2b-9bf0-4faa-870f-7edffcc24a7a,Secretaria de Educación,111551533.94,17610230.28,1731054055.0,234449792.3,0.0
6e2652d8-a77e-42a3-91df-2254161ef05c,d1ee53c1-c4b2-4933-bcec-6773f0298332,Secretaria de Infraestructura,182549972.04,57417425.9,2191476255.0,820248941.4,0.0
8458e604-2218-46dc-be9d-3a0447fa5024,00087ed2-332b-4338-841f-9a6d3b6cc8d3,Secretaria de Infraestructura,152771822.0,8728904.1,1833995464.0,104788764.7,0.0
02769117-2635-464e-a0ee-32243d10ce86,15532d78-38bd-464d-9152-9670aa681f8f,Secretaria de Movilidad,60000000.0,0.0,439990600.0,0.0,0.0
068144db-1db9-4af4-877e-c83e54188b0a,f02146b8-787b-48cd-b510-885713390111,Secretaria de Infraestructura,1316587963.09,135358248.37,1316587936.09,135358248.37,0.0
c8e96f96-b296-4542-97e2-f016c9206af9,780d9648-ec98-4e7c-8747-d5bc2ee7261a,Secretaria de Infraestructura,1129819040.19,0.0,13563253784.0,0.0,0.0
064417c2-98f5-4d12-9706-fac716a3551f,a80429a6-4d3d-4c17-be64-a7cd8c7cff07,Secretaria de Infraestructura,2010021613.0,192684145.06,13278477692.0,3201896570.0,0.0
305d7fcf-159d-42b8-ad70-98ff0fe9f01f,8fd24c34-499e-492d-bf11-1d6b65dd9b1b,Secretaria de Cultura y turismo,55746826.49,0.0,506191057.7,0.0,0.0
877379c2-19be-4560-8f4c-de38a814c58b,6be48ed9-a819-4de1-a30d-5c61c715a98f,Secretaria de Cultura y turismo,360000000.0,0.0,2640000000.0,0.0,0.0
2af28c79-68fe-4152-96e9-47b495c23bf0,f9bdce78-89ea-4510-b62e-a265e71facd8,Secretaria de Cultura y turismo,369438968.13,0.0,3267925415.0,0.0,0.0
1bb604de-9c21-440b-974b-6dee28ec691d,58834fdd-9b31-42a2-af5f-802d3f8b0b89,Secretaria General,0.0,0.0,0.0,0.0,0.0
6452337d-9a60-47d1-8df9-d7567d6c9a05,939f53f3-ac9c-427c-a173-c20654548fe0,Secretaria General,0.0,0.0,0.0,0.0,0.0
895e84d3-69fb-4fce-8c7c-2787042769d5,65f559a3-e103-4625-9801-2c8b7684ddd7,Secretaria General,0.0,0.0,0.0,0.0,0.0
